range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"5c3087e9762fe7248ddb31b683a8ff58c85f95e7-1e53bb4bf2754c724bcb894e730fd77e25dae80c","2013-06 -- 2013-09",156,97,15,44,0.6218,0.0962,0.2821,9,0.0577,0,0,23,48,48,9,0,0,54,0,16,0.68,0.9481,0,0,0,0,0,0,0.391,0.6923,0.6596,0.8475,0.0144,0.1978,0.5074,0.3113,0.2593,-0.1889,0.0862,42,3,6,0.8235,0.0588,0.1176,0.0,0.34615384615384615,0.0,0.10256410256410256,0.0,3.6,0.0,1.0666666666666667
"1e53bb4bf2754c724bcb894e730fd77e25dae80c-dc7909c40a5524af650a7d4233f393a43bf6706c","2013-09 -- 2013-12",184,102,28,54,0.5543,0.1522,0.2935,8,0.0435,1,0.0122,24,60,58,14,10,2,64,0,44,0.5217,0.9217,0.3765,0.3688,0.3148,0.3396,0.1739,0.375,0.413,0.6739,0.6282,0.8293,0.0107,0.1795,0.5196,0.289,0.1792,0.0995,0.0979,49,5,9,0.7778,0.0794,0.1429,0.05434782608695652,0.34782608695652173,0.0,0.2391304347826087,0.35714285714285715,2.2857142857142856,0.0,1.5714285714285714
"dc7909c40a5524af650a7d4233f393a43bf6706c-1f44df94fa2c84abd0a14becd0da4f019237f15e","2013-12 -- 2014-03",217,137,24,56,0.6313,0.1106,0.2581,10,0.0461,0,0,23,65,65,12,3,0,70,2,17,0.6852,0.9586,0.384,0.4691,0.448,0.439,0.5385,0.3766,0.3641,0.7005,0.6632,0.85,0.0098,0.1331,0.5161,0.162,0.1757,0.1658,0.1275,58,5,7,0.8286,0.0714,0.1,0.013824884792626729,0.3225806451612903,0.009216589861751152,0.07834101382488479,0.125,2.9166666666666665,0.08333333333333333,0.7083333333333334
"1f44df94fa2c84abd0a14becd0da4f019237f15e-7e74ad023826cfe89604b09b605ef74679b375e2","2014-03 -- 2014-06",176,119,17,40,0.6761,0.0966,0.2273,7,0.0398,0,0,16,58,58,8,3,2,91,0,15,0.6809,0.9563,0.5598,0.6131,0.5041,0.5041,0.7,0.3182,0.5568,0.6705,0.6352,0.8596,0.0147,0.3423,0.5884,0.2824,0.2242,0.2997,0.0573,50,0,8,0.8621,0,0.1379,0.017045454545454544,0.5170454545454546,0.0,0.08522727272727272,0.17647058823529413,5.352941176470588,0.0,0.8823529411764706
"7e74ad023826cfe89604b09b605ef74679b375e2-c98d0ea46197545b899b463c1ba9ff2fea8e8c6e","2014-06 -- 2014-09",170,105,22,43,0.6176,0.1294,0.2529,8,0.0471,0,0,24,58,58,8,4,0,40,0,16,0.5294,0.9339,0.4624,0.4426,0.431,0.431,0.5,0.5375,0.2765,0.6588,0.6081,0.8769,0.0124,0.259,0.5183,0.2697,0.3078,-0.2061,0.0615,52,2,6,0.8667,0.0333,0.1,0.023529411764705882,0.23529411764705882,0.0,0.09411764705882353,0.18181818181818182,1.8181818181818181,0.0,0.7272727272727273
"c98d0ea46197545b899b463c1ba9ff2fea8e8c6e-09ef13993b7a650039eb884c694660b17e61bb5c","2014-09 -- 2014-12",250,144,37,69,0.576,0.148,0.276,9,0.036,0,0,26,82,82,11,4,2,89,0,15,0.6809,0.9743,0.2952,0.2807,0.3286,0.3286,0.3158,0.2258,0.396,0.672,0.615,0.8962,0.0077,0.1536,0.5673,0.1374,0.1726,0.2202,0.0913,72,1,10,0.8675,0.012,0.1205,0.016,0.356,0.0,0.06,0.10810810810810811,2.4054054054054053,0.0,0.40540540540540543
"09ef13993b7a650039eb884c694660b17e61bb5c-6b134bcba9de5605086ee9382c0be13174480cac","2014-12 -- 2015-03",212,125,30,57,0.5896,0.1415,0.2689,10,0.0472,1,0.0115,24,62,61,8,6,2,109,0,14,0.641,0.962,0.5584,0.6321,0.5694,0.5734,0.4211,0.3721,0.533,0.7075,0.6648,0.908,0.0094,0.17,0.5232,0.0601,0.0471,-0.2329,0.0882,55,2,6,0.873,0.0317,0.0952,0.02830188679245283,0.5141509433962265,0.0,0.0660377358490566,0.2,3.6333333333333333,0.0,0.4666666666666667
"6b134bcba9de5605086ee9382c0be13174480cac-6fec047e9470731d588e52f516c1c704a7a55411","2015-03 -- 2015-06",191,116,29,46,0.6073,0.1518,0.2408,7,0.0366,0,0,25,54,54,8,2,0,87,0,6,0.7273,0.9806,0.4467,0.5556,0.4828,0.4696,0.5,0.5,0.466,0.7173,0.6667,0.8933,0.01,0.2159,0.5467,0.0831,0.0579,0.0057,0.0849,49,3,5,0.8596,0.0526,0.0877,0.010471204188481676,0.45549738219895286,0.0,0.031413612565445025,0.06896551724137931,3.0,0.0,0.20689655172413793
"6fec047e9470731d588e52f516c1c704a7a55411-8a6260e1e14ab1523c195001454c98aaa044ea64","2015-06 -- 2015-09",147,75,26,46,0.5102,0.1769,0.3129,14,0.0952,1,0.0139,26,41,41,8,4,0,69,1,9,0.64,0.9494,0.6154,0.5714,0.6105,0.6105,0.625,0.4231,0.4898,0.7211,0.6612,0.8889,0.0119,0.2227,0.489,0.0319,0.0271,0.1821,0.0795,34,1,7,0.8095,0.0238,0.1667,0.027210884353741496,0.46938775510204084,0.006802721088435374,0.061224489795918366,0.15384615384615385,2.6538461538461537,0.038461538461538464,0.34615384615384615
"8a6260e1e14ab1523c195001454c98aaa044ea64-eaa1fd6dbff8346eb38485de5ebf0fbfacf374d9","2015-09 -- 2015-12",236,152,26,58,0.6441,0.1102,0.2458,8,0.0339,1,0.0119,24,70,69,14,13,0,87,1,24,0.662,0.9598,0.2715,0.4103,0.2162,0.2182,0.2727,0.5192,0.4153,0.7034,0.6714,0.8333,0.0095,0.1308,0.4736,0.1763,0.1644,0.1081,0.1093,60,5,9,0.8108,0.0676,0.1216,0.05508474576271186,0.3686440677966102,0.00423728813559322,0.1016949152542373,0.5,3.3461538461538463,0.038461538461538464,0.9230769230769231
"eaa1fd6dbff8346eb38485de5ebf0fbfacf374d9-227ab51db6517bda1a557391bebaa7882b51963e","2015-12 -- 2016-03",282,153,52,77,0.5426,0.1844,0.273,12,0.0426,0,0,22,76,75,11,0,0,91,2,17,0.6458,0.9738,0.3822,0.3286,0.4795,0.4861,0.72,0.404,0.3582,0.7305,0.6739,0.9147,0.006,0.1451,0.4564,0.3276,0.1582,0.0667,0.0489,65,1,10,0.8553,0.0132,0.1316,0.0,0.32269503546099293,0.0070921985815602835,0.06028368794326241,0.0,1.75,0.038461538461538464,0.3269230769230769
"227ab51db6517bda1a557391bebaa7882b51963e-6d66089127313a1c5b5c5584eaf3e9edec010955","2016-03 -- 2016-06",187,104,34,49,0.5561,0.1818,0.262,8,0.0428,0,0,24,58,57,11,15,0,70,0,27,0.4906,0.9273,0.6567,0.717,0.6119,0.6061,0.5455,0.3312,0.4225,0.6898,0.6275,0.8675,0.0094,0.1478,0.4254,0.1996,0.1326,0.0992,0.0531,51,5,6,0.8226,0.0806,0.0968,0.08021390374331551,0.37433155080213903,0.0,0.1443850267379679,0.4411764705882353,2.0588235294117645,0.0,0.7941176470588235
